Cond	Weight	HotIn	HotOut	ColdIn	ColdOut	Month	Day	Hour	Minute	Second
548.97	-0.5	22.30	23.65	22.13	22.27	5	20	10	8	0
553.67	-0.5	22.30	23.68	22.13	22.27	5	20	10	8	1
548.97	-0.5	22.30	23.65	22.13	22.30	5	20	10	8	3
553.67	-0.5	22.27	23.62	22.13	22.27	5	20	10	8	4
553.67	0.0	22.30	23.62	22.17	22.27	5	20	10	9	3
548.97	0.0	22.30	23.65	22.13	22.30	5	20	10	10	3
548.97	0.0	22.33	23.65	22.13	22.30	5	20	10	11	3
548.97	0.0	22.33	23.65	22.13	22.30	5	20	10	12	3
548.97	0.0	22.30	23.65	22.13	22.30	5	20	10	13	4
548.97	0.0	22.30	23.65	22.17	22.30	5	20	10	14	4
553.67	0.0	22.30	23.65	22.13	22.27	5	20	10	15	4
548.97	0.0	22.30	23.68	22.13	22.27	5	20	10	16	4
548.97	0.0	22.30	23.68	22.13	22.30	5	20	10	17	4
558.36	3.0	22.33	23.65	22.17	22.27	5	20	10	18	4
548.97	12.5	22.30	23.65	.91	5	20	10	19	4
548.97	23.0	71.85	64.93	18.40	25.95	5	20	10	20	0
548.97	35.5	71.85	64.89	18.53	26.08	5	20	10	21	0
558.36	48.5	71.61	64.76	18.60	26.15	5	20	10	22	0
548.97	61.0	71.61	64.72	18.70	26.25	5	20	10	23	0
548.97	74.0	71.55	64.69	18.80	26.28	5	20	10	24	0
558.36	86.5	71.34	64.59	18.83	26.32	5	20	10	25	0
548.97	99.0	71.34	64.52	18.87	26.32	5	20	10	26	0
548.97	111.0	71.20	64.45	18.97	26.38	5	20	10	27	0
548.97	123.0	71.00	64.31	19.07	26.42	5	20	10	28	0
548.97	135.0	70.93	64.21	19.14	26.52	5	20	10	29	0
553.67	147.5	70.79	64.14	19.07	26.45	5	20	10	30	1
548.97	160.0	70.86	64.18	19.10	26.49	5	20	10	31	1
553.67	172.5	70.72	64.11	19.27	26.59	5	20	10	32	1
553.67	184.5	70.62	64.07	19.27	26.62	5	20	10	33	1
548.97	197.0	70.28	64.62	24.53	31.25	5	20	10	34	1
553.67	209.0	70.25	64.45	24.63	31.21	5	20	10	35	1
558.36	221.5	70.49	64.62	24.63	31.31	5	20	10	36	1
548.97	233.5	70.55	64.72	24.69	31.45	5	20	10	37	1
553.67	245.5	70.59	64.76	24.69	31.42	5	20	10	38	1
553.67	257.0	70.35	64.69	24.80	31.55	5	20	10	39	1
548.97	267.5	70.55	64.72	24.80	31.48	5	20	10	40	1
553.67	279.0	70.45	64.69	24.80	31.58	5	20	10	41	2
548.97	292.0	70.55	64.76	24.96	31.62	5	20	10	42	2
567.74	305.5	70.55	64.86	25.00	31.69	5	20	10	43	2
567.74	316.0	70.38	64.59	24.93	31.58	5	20	10	44	2
563.05	328.0	70.49	64.76	25.00	31.65	5	20	10	45	2
567.74	340.0	70.38	64.65	24.93	31.62	5	20	10	46	2
567.74	352.0	70.55	64.72	24.93	31.58	5	20	10	47	2
558.36	363.5	70.69	64.82	25.13	31.79	5	20	10	48	2
558.36	375.0	70.96	65.58	28.17	34.66	5	20	10	49	2
567.74	386.5	71.20	65.78	28.34	34.73	5	20	10	50	3
567.74	397.5	70.96	65.75	28.37	34.83	5	20	10	51	3
558.36	409.5	71.17	65.75	28.30	34.76	5	20	10	52	3
558.36	417.5	71.10	65.81	28.24	34.73	5	20	10	53	3
567.74	427.0	71.17	65.75	28.34	34.73	5	20	10	54	3
563.05	436.0	71.03	65.71	28.37	34.83	5	20	10	55	3
563.05	444.5	71.13	65.58	28.30	34.73	5	20	10	56	3
563.05	452.5	71.10	65.78	28.30	34.80	5	20	10	57	3
567.74	470.0	71.13	65.71	28.27	34.76	5	20	10	58	3
567.74	485.0	71.07	65.75	28.41	34.80	5	20	10	59	3
558.36	498.0	71.07	65.71	28.44	34.90	5	20	11	0	4
558.36	510.0	71.17	65.75	28.47	34.90	5	20	11	1	4
563.05	521.0	71.00	65.78	28.54	34.97	5	20	11	2	4
567.74	532.5	36.59	5	20	11	3	4
567.74	543.5	71.41	66.22	30.36	36.59	5	20	11	4	4
558.36	555.5	71.44	66.29	30.26	36.59	5	20	11	5	4
558.36	566.0	71.41	66.29	30.09	36.42	5	20	11	6	4
558.36	578.0	71.37	66.16	30.13	36.35	5	20	11	7	4
563.05	590.0	71.48	66.22	30.16	36.39	5	20	11	8	4
563.05	601.5	71.41	66.19	30.23	36.45	5	20	11	9	4
567.74	611.5	71.41	66.19	30.33	36.49	5	20	11	10	0
563.05	622.0	71.27	66.12	30.20	36.49	5	20	11	11	0
558.36	633.0	71.37	66.22	30.23	36.39	5	20	11	12	0
563.05	644.5	71.31	66.16	30.30	36.52	5	20	11	13	0
567.74	655.0	71.37	66.19	30.40	36.52	5	20	11	14	0
567.74	666.0	71.13	66.16	30.30	36.59	5	20	11	15	0
558.36	676.5	71.27	66.12	30.36	36.52	5	20	11	16	0
567.74	687.5	71.24	66.16	30.43	36.62	5	20	11	17	0
563.05	699.0	71.24	66.43	31.01	37.33	5	20	11	18	0
567.74	709.0	71.24	66.53	31.01	37.47	5	20	11	19	0
511.44	719.5	71.24	66.43	31.01	37.44	5	20	11	20	1
516.13	730.5	71.24	66.60	31.11	37.61	5	20	11	21	1
516.13	742.0	71.20	66.43	30.94	37.44	5	20	11	22	1
506.74	751.5	71.31	66.60	30.84	37.33	5	20	11	23	1
516.13	762.0	71.17	66.50	30.90	37.33	5	20	11	24	1
506.74	772.5	71.20	66.50	31.01	37.47	5	20	11	25	1
511.44	783.0	71.24	66.43	30.97	37.40	5	20	11	26	1
506.74	794.0	71.34	66.53	30.97	37.44	5	20	11	27	1
506.74	805.0	71.27	66.46	30.87	37.33	5	20	11	28	1
516.13	815.0	71.24	66.46	30.94	37.40	5	20	11	29	2
511.44	825.5	71.10	66.50	31.01	37.44	5	20	11	30	2
506.74	836.0	71.13	66.46	30.90	37.40	5	20	11	31	2
516.13	847.0	71.07	66.43	31.01	37.40	5	20	11	32	2
511.44	857.5	71.41	66.63	31.72	38.08	5	20	11	33	2
506.74	868.0	71.20	66.53	31.51	37.94	5	20	11	34	2
516.13	879.5	71.41	66.70	31.48	37.91	5	20	11	35	2
516.13	889.0	71.41	66.67	31.34	37.84	5	20	11	36	2
511.44	899.5	71.37	66.63	31.38	37.77	5	20	11	37	2
511.44	910.0	71.17	66.57	31.38	37.81	5	20	11	38	3
506.74	920.5	71.34	66.53	31.41	37.81	5	20	11	39	3
516.13	931.5	71.17	66.57	31.45	37.84	5	20	11	40	3
511.44	942.0	71.17	66.46	31.68	37.94	5	20	11	41	3
506.74	952.5	71.24	66.57	31.68	38.01	5	20	11	42	3
511.44	963.0	71.27	66.50	31.48	37.88	5	20	11	43	3
506.74	973.0	71.34	66.63	31.48	37.91	5	20	11	44	3
511.44	983.5	71.34	66.60	31.58	37.94	5	20	11	45	3
511.44	996.5	71.44	66.67	31.58	37.98	5	20	11	46	3
506.74	1005.0	70.66	72	65.99	31.95	38.15	5	20	11	47	3
511.44	1015.0	70.76	65.92	31.92	38.15	5	20	11	48	4
506.74	1025.0	70.62	66.02	31.82	38.08	5	20	11	49	4
506.74	1035.0	70.76	65.95	31.75	38.05	5	20	11	50	4
506.74	1045.5	70.83	66.05	31.72	37.98	5	20	11	51	4
506.74	1055.0	70.90	66.09	31.92	38.08	5	20	11	52	4
511.44	1064.5	70.72	65.99	31.88	38.11	5	20	11	53	4
506.74	1074.5	70.83	66.02	31.78	38.05	5	20	11	54	4
511.44	1085.5	70.55	65.92	31.82	38.05	5	20	11	55	4
473.90	1094.5	70.69	65.95	31.88	38.08	5	20	11	56	4
473.90	1103.5	70.52	65.85	31.88	38.08	5	20	11	57	0
473.90	1113.0	70.66	65.85	31.92	38.11	5	20	11	58	0
473.90	1123.0	70.55	65.88	31.85	38.01	5	20	11	59	0
469.21	1132.5	70.66	65.85	31.82	38.01	5	20	12	0	0
473.90	1143.0	70.52	65.81	31.78	38.05	5	20	12	1	0
473.90	1152.5	69.73	65.03	31.51	37.57	5	20	12	2	0
473.90	1162.0	69.63	65.03	31.45	37.50	5	20	12	3	0
473.90	1172.0	69.84	65.06	31.58	37.61	5	20	12	4	0
464.52	1182.5	69.63	65.10	31.58	37.64	5	20	12	5	0
473.90	1191.5	69.73	65.10	31.55	37.71	5	20	12	6	1
464.52	1201.5	69.70	65.06	31.41	37.50	5	20	12	7	1
469.21	1211.0	69.73	65.06	31.34	37.40	5	20	12	8	1
469.21	1221.0	69.67	65.06	31.41	37.50	5	20	12	9	1
473.90	1231.0	69.67	65.03	31.55	37.57	5	20	12	10	1
469.21	1242.0	69.56	65.06	31.65	37.67	5	20	12	11	1
469.21	1251.5	69.84	65.10	31.41	37.57	5	20	12	12	1
473.90	1261.5	69.63	65.13	31.45	37.50	5	20	12	13	1
473.90	1271.5	69.67	65.03	31.51	37.57	5	20	12	14	1
464.52	1282.5	69.60	65.03	31.41	37.50	5	20	12	15	2
464.52	1292.0	69.77	65.00	31.48	37.54	5	20	12	16	2
473.90	1302.5	70.86	65.92	31.34	37.67	5	20	12	17	2
473.90	1313.0	71.10	66.05	31.31	37.67	5	20	12	18	2
