Cond	Weight	HotIn	HotOut	ColdIn	ColdOut	Month	Day	Hour	Minute	Second
0.00	01.0	983.82	21.43	21.76	983.82	21.39	21.70	-242.02	5	30	8	39	0
0.00	-101.0	983.82	21.39	21.70	-242.02	5	30	8	41	0
0.00	-101.0	983.82	21.43	21.66	-242.02	5	30	8	43	0
0.00	-101.0	983.82	21.39	21.66	-242.02	5	30	8	45	0
0.00	-101.0	983.82	21.39	21.70	-242.02	5	30	8	47	0
0.00	-101.0	983.82	21.43	21.70	-242.02	5	30	8	49	0
0.00	-101.0	983.82	21.43	21.66	-242.02	5	30	8	51	0
0.00	-101.0	983.82	21.43	21.70	-242.02	5	30	8	53	0
0.00	-101.0	983.82	21.43	21.73	-242.02	5	30	8	55	0
0.00	-101.0	983.82	21.43	21.66	-242.02	5	30	8	57	0
0.00	-101.0	983.82	21.43	21.73	-242.02	5	30	8	59	0
0.00	-101.0	983.82	21.39	21.70	-242.02	5	30	9	1	0
0.00	-101.0	983.82	21.43	21.70	-242.02	5	30	9	3	0
0.00	-101.0	983.82	21.43	21.70	-242.02	5	30	9	5	0
