Cond	Weight	HotIn	HotOut	ColdIn	ColdOut	Month	Day	Hour	Minute	Second
450.44	719.0	56.30	51.78	22.44	26.96	6	4	12	44	0
450.44	733.0	56.36	51.85	22.40	26.92	6	4	12	46	0
450.44	749.0	56.53	51.95	22.37	26.92	6	4	12	48	0
445.75	765.5	56.57	51.95	22.44	26.96	6	4	12	50	0
450.44	783.5	56.74	52.15	22.47	27.03	6	4	12	52	0
445.75	800.5	56.81	52.15	22.37	26.99	6	4	12	54	0
450.44	817.5	56.98	52.32	22.44	27.06	6	4	12	56	0
445.75	834.5	57.08	52.39	22.30	26.96	6	4	12	58	0
450.44	850.0	57.25	52.56	22.50	27.13	6	4	13	0	0
445.75	874.0	57.39	52.66	22.57	27.19	6	4	13	2	0
445.75	894.0	57.45	52.73	22.37	27.13	6	4	13	4	0
450.44	913.5	57.59	52.83	22.47	27.19	6	4	13	6	0
455.13	933.0	57.73	52.94	22.54	27.23	6	4	13	8	0
441.06	953.0	57.86	53.07	22.50	27.26	6	4	13	10	0
445.75	974.0	58.00	53.17	22.47	27.23	6	4	13	12	0
441.06	994.5	58.17	53.31	22.60	27.36	6	4	13	14	0
450.44	1015.0	58.27	53.45	22.50	27.33	6	4	13	16	0
445.75	1036.0	58.37	53.51	22.54	27.36	6	4	13	18	0
450.44	1056.0	58.61	53.68	22.64	27.46	6	4	13	20	0
445.75	1074.5	58.68	53.82	22.60	27.46	6	4	13	22	0
455.13	1092.0	58.75	53.82	22.50	27.40	6	4	13	24	0
455.13	1111.0	59.05	54.06	22.64	27.50	6	4	13	26	0
450.44	1141.0	59.05	54.06	22.67	27.57	6	4	13	28	0
450.44	1164.0	59.33	54.26	22.74	27.70	6	4	13	30	0
445.75	1187.5	59.40	54.36	22.71	27.67	6	4	13	32	0
445.75	1207.5	59.46	54.43	22.74	27.73	6	4	13	34	0
450.44	1228.5	59.70	54.57	22.74	27.70	6	4	13	36	0
445.75	1250.5	59.84	54.74	22.77	27.77	6	4	13	38	0
450.44	1269.5	59.87	54.81	22.84	27.87	6	4	13	40	0
450.44	1290.0	59.97	54.84	22.84	27.90	6	4	13	42	0
445.75	1311.5	60.11	55.01	22.84	27.90	6	4	13	44	0
445.75	1332.0	60.21	55.08	22.84	27.90	6	4	13	46	0
450.44	1352.5	60.42	55.28	22.94	28.04	6	4	13	48	0
450.44	1373.0	60.52	55.28	22.87	27.97	6	4	13	50	0
450.44	1394.0	60.76	55.49	22.94	28.07	6	4	13	52	0
441.06	1414.5	60.79	55.55	23.01	28.14	6	4	13	54	0
450.44	1435.0	60.79	55.55	23.01	28.11	6	4	13	56	0
450.44	1455.5	61.00	55.76	23.01	28.21	6	4	13	58	0
450.44	1476.0	60.96	55.76	23.04	28.21	6	4	14	0	0
450.44	1496.5	61.17	55.90	23.04	28.27	6	4	14	2	0
450.44	1518.0	61.37	56.03	23.04	28.27	6	4	14	4	0
441.06	1537.5	61.30	56.03	23.11	28.31	6	4	14	6	0
445.75	1558.5	61.47	56.17	23.18	28.41	6	4	14	8	0
455.13	1577.0	61.58	56.24	23.18	28.48	6	4	14	10	0
450.44	1596.0	61.61	56.30	23.21	28.54	6	4	14	12	0
450.44	1615.5	61.68	56.30	23.28	28.54	6	4	14	14	0
455.13	1634.0	61.81	56.47	23.31	28.58	6	4	14	16	0
450.44	1653.0	61.78	56.44	23.25	28.51	6	4	14	18	0
445.75	1672.5	62.02	56.64	23.38	28.68	6	4	14	20	0
450.44	1691.5	62.09	56.68	23.31	28.61	6	4	14	22	0
445.75	1710.5	62.12	56.78	23.48	28.78	6	4	14	24	0
450.44	1729.0	62.26	56.85	23.41	28.75	6	4	14	26	0
445.75	1747.0	62.26	56.88	23.52	28.85	6	4	14	28	0
455.13	1766.0	62.19	56.85	23.48	28.81	6	4	14	30	0
445.75	1785.5	62.39	56.92	23.58	28.88	6	4	14	32	0
445.75	1804.5	62.36	56.95	23.55	28.92	6	4	14	34	0
450.44	1824.0	62.39	56.98	23.58	28.95	6	4	14	36	0
445.75	1843.5	62.46	57.02	23.58	28.95	6	4	14	38	0
450.44	1863.0	62.56	57.09	23.68	29.05	6	4	14	40	0
445.75	1882.5	62.60	57.19	23.65	29.02	6	4	14	42	0
445.75	1902.0	62.53	57.12	23.65	29.02	6	4	14	44	0
441.06	1921.5	62.70	57.22	23.72	29.12	6	4	14	46	0
450.44	1941.0	62.67	57.22	23.78	29.15	6	4	14	48	0
450.44	1960.5	62.77	57.32	23.72	29.08	6	4	14	50	0
445.75	1980.0	62.77	57.29	23.78	29.15	6	4	14	52	0
450.44	1999.5	62.84	57.36	23.82	29.25	6	4	14	54	0
450.44	2019.0	62.80	57.36	23.89	29.25	6	4	14	56	0
445.75	2039.0	62.91	57.46	23.89	29.36	6	4	14	58	0
445.75	2058.0	63.01	57.50	23.95	29.32	6	4	15	0	0
445.75	2077.5	63.04	57.53	23.89	29.36	6	4	15	2	0
445.75	2097.0	63.01	57.53	23.95	29.42	6	4	15	4	0
445.75	2116.5	62.97	57.50	23.92	29.39	6	4	15	6	0
445.75	2136.0	63.11	57.63	24.09	29.56	6	4	15	8	0
445.75	2155.5	63.01	57.53	23.78	29.25	6	4	15	10	0
445.75	2175.0	62.91	57.50	24.09	29.49	6	4	15	12	0
