Cond	Weight	HotIn	HotOut	ColdIn	ColdOut	Month	Day	Hour	Minute	Second
548.97	9.5	21.86	22.03	21.83	21.80	6	5	10	39	0
544.28	10.0	21.89	22.03	21.86	21.80	6	5	10	41	0
548.97	11.0	21.86	22.00	21.90	21.80	6	5	10	43	0
544.28	0.0	21.89	22.03	21.86	21.83	6	5	10	45	0
553.67	0.0	21.86	22.03	21.86	21.83	6	5	10	47	0
544.28	11.5	21.89	22.00	21.86	21.83	6	5	10	50	0
553.67	34.5	21.86	22.03	21.86	21.83	6	5	10	52	0
544.28	56.5	21.93	22.03	21.90	21.83	6	5	10	54	0
553.67	80.0	21.86	22.03	21.90	21.80	6	5	10	56	0
553.67	105.0	21.86	22.03	21.86	21.80	6	5	10	58	0
