Conductivity,Weight,Temperature1,Temperature2,Temperature3,Temperature4,Year,Month,Day,Hour,Minute,Second
520.82,1.0,22.43,22.54,22.44,22.14,2019,4,19,14,27,0
525.51,1.0,22.43,22.54,22.47,22.14,2019,4,19,14,27,2
530.21,1.0,22.43,22.54,22.47,22.14,2019,4,19,14,27,7
530.21,1.0,22.43,22.50,22.44,22.17,2019,4,19,14,27,12
525.51,1.0,22.43,22.54,22.44,22.14,2019,4,19,14,27,17
525.51,1.0,22.43,22.54,22.44,22.14,2019,4,19,14,27,22
525.51,1.0,22.43,22.50,22.44,22.20,2019,4,19,14,27,27
525.51,1.0,22.40,22.54,22.44,22.17,2019,4,19,14,27,32
530.21,1.0,22.47,22.54,22.47,22.17,2019,4,19,14,27,37
520.82,1.0,22.43,22.50,22.47,22.17,2019,4,19,14,27,42
530.21,1.0,22.43,22.54,22.44,22.17,2019,4,19,14,27,47
530.21,1.0,22.47,22.54,22.44,22.17,2019,4,19,14,27,52
520.82,1.0,22.43,22.54,22.44,22.17,2019,4,19,14,27,57
520.82,1.0,22.40,22.54,22.47,22.17,2019,4,19,14,28,2
525.51,1.0,22.43,22.54,22.47,22.17,2019,4,19,14,28,7
530.21,1.0,22.40,22.54,22.44,22.17,2019,4,19,14,28,12
525.51,1.0,22.43,22.50,22.44,22.14,2019,4,19,14,28,17
520.82,1.0,22.43,22.54,22.47,22.17,2019,4,19,14,28,22
525.51,1.0,22.43,22.50,22.44,22.17,2019,4,19,14,28,27
525.51,1.0,22.43,22.57,22.44,22.17,2019,4,19,14,28,32
525.51,1.0,22.47,22.54,22.47,22.17,2019,4,19,14,28,37
525.51,1.0,22.43,22.54,22.47,22.17,2019,4,19,14,28,42
530.21,1.0,22.43,22.54,22.44,22.20,2019,4,19,14,28,47
530.21,1.0,22.43,22.54,22.44,22.17,2019,4,19,14,28,52
516.13,1.0,22.43,22.54,22.44,22.17,2019,4,19,14,28,57
520.82,1.0,22.43,22.54,22.47,22.17,2019,4,19,14,29,2
525.51,1.5,22.43,22.54,22.44,22.20,2019,4,19,14,29,7
525.51,1.5,22.47,22.54,22.44,22.17,2019,4,19,14,29,12
530.21,1.5,22.43,22.54,22.44,22.17,2019,4,19,14,29,17
530.21,1.5,22.43,22.54,22.47,22.14,2019,4,19,14,29,22
520.82,1.5,22.43,22.54,22.44,22.14,2019,4,19,14,29,27
525.51,1.5,22.43,22.54,22.44,22.17,2019,4,19,14,29,32
525.51,1.5,22.43,22.54,22.44,22.17,2019,4,19,14,29,37
525.51,1.5,22.43,22.54,22.44,22.20,2019,4,19,14,29,42
525.51,1.5,22.43,22.50,22.44,22.17,2019,4,19,14,29,47
525.51,1.5,22.43,22.54,22.47,22.14,2019,4,19,14,29,52
525.51,1.5,22.43,22.54,22.44,22.17,2019,4,19,14,29,57
525.51,1.5,22.47,22.54,22.44,22.17,2019,4,19,14,30,2
530.21,1.5,22.43,22.54,22.47,22.17,2019,4,19,14,30,7
525.51,1.5,22.43,22.50,22.44,22.17,2019,4,19,14,30,12
530.21,1.5,22.43,22.54,22.44,22.17,2019,4,19,14,30,17
525.51,1.5,22.43,22.54,22.44,22.17,2019,4,19,14,30,22
530.21,1.5,22.43,22.54,22.44,22.17,2019,4,19,14,30,27
530.21,1.5,22.43,22.54,22.44,22.17,2019,4,19,14,30,32
525.51,1.5,22.47,22.50,22.47,22.17,2019,4,19,14,30,37
530.21,1.5,22.43,22.54,22.44,22.17,2019,4,19,14,30,42
520.82,1.5,22.43,22.54,22.44,22.17,2019,4,19,14,30,47
520.82,1.5,22.43,22.50,22.44,22.17,2019,4,19,14,30,52
520.82,1.5,22.43,22.54,22.44,22.17,2019,4,19,14,30,57
520.82,1.5,22.43,22.54,22.47,22.17,2019,4,19,14,31,2
525.51,1.5,22.43,22.50,22.47,22.17,2019,4,19,14,31,7
520.82,1.5,22.47,22.54,22.44,22.17,2019,4,19,14,31,12
530.21,1.5,22.43,22.54,22.47,22.14,2019,4,19,14,31,17
520.82,1.5,22.47,22.54,22.44,22.17,2019,4,19,14,31,22
525.51,1.5,22.47,22.54,22.40,22.17,2019,4,19,14,31,27
525.51,1.5,22.43,22.54,22.44,22.17,2019,4,19,14,31,32
525.51,1.5,22.43,22.50,22.44,22.17,2019,4,19,14,31,37
520.82,1.5,22.43,22.54,22.47,22.17,2019,4,19,14,31,42
530.21,1.5,22.47,22.57,22.44,22.17,2019,4,19,14,31,48
520.82,1.5,22.43,22.54,22.47,22.17,2019,4,19,14,31,52
525.51,1.5,22.43,22.54,22.47,22.17,2019,4,19,14,31,57
516.13,1.5,22.43,22.57,22.44,22.17,2019,4,19,14,32,2
530.21,1.5,22.43,22.57,22.47,22.14,2019,4,19,14,32,7
530.21,2.0,22.43,22.54,22.44,22.17,2019,4,19,14,32,13
525.51,2.0,22.43,22.54,22.44,22.17,2019,4,19,14,32,17
520.82,2.0,22.43,22.54,22.44,22.17,2019,4,19,14,32,23
